0,1,2,3,4,5,6,7
157.82,158.24,158.03,156.33,156.45,156.79,156.29,155.85
158.24,158.03,156.33,156.45,156.79,156.29,155.85,155.095
158.03,156.33,156.45,156.79,156.29,155.85,155.095,154.08
156.33,156.45,156.79,156.29,155.85,155.095,154.08,153.86
156.45,156.79,156.29,155.85,155.095,154.08,153.86,157.96
156.79,156.29,155.85,155.095,154.08,153.86,157.96,157.99
156.29,155.85,155.095,154.08,153.86,157.96,157.99,157.95
155.85,155.095,154.08,153.86,157.96,157.99,157.95,157.51
155.095,154.08,153.86,157.96,157.99,157.95,157.51,157.94
154.08,153.86,157.96,157.99,157.95,157.51,157.94,158.01
153.86,157.96,157.99,157.95,157.51,157.94,158.01,158.19
157.96,157.99,157.95,157.51,157.94,158.01,158.19,157.48
157.99,157.95,157.51,157.94,158.01,158.19,157.48,158.1
157.95,157.51,157.94,158.01,158.19,157.48,158.1,158.65
157.51,157.94,158.01,158.19,157.48,158.1,158.65,158.13
157.94,158.01,158.19,157.48,158.1,158.65,158.13,157.59
158.01,158.19,157.48,158.1,158.65,158.13,157.59,159.35
158.19,157.48,158.1,158.65,158.13,157.59,159.35,159.34
157.48,158.1,158.65,158.13,157.59,159.35,159.34,159.93
158.1,158.65,158.13,157.59,159.35,159.34,159.93,159.64
158.65,158.13,157.59,159.35,159.34,159.93,159.64,159.48
158.13,157.59,159.35,159.34,159.93,159.64,159.48,159.5
157.59,159.35,159.34,159.93,159.64,159.48,159.5,159.7
159.35,159.34,159.93,159.64,159.48,159.5,159.7,159.6
159.34,159.93,159.64,159.48,159.5,159.7,159.6,159.68
159.93,159.64,159.48,159.5,159.7,159.6,159.68,159.52
159.64,159.48,159.5,159.7,159.6,159.68,159.52,159.67
159.48,159.5,159.7,159.6,159.68,159.52,159.67,159.94
159.5,159.7,159.6,159.68,159.52,159.67,159.94,159.81
159.7,159.6,159.68,159.52,159.67,159.94,159.81,159.35
159.6,159.68,159.52,159.67,159.94,159.81,159.35,160.42
159.68,159.52,159.67,159.94,159.81,159.35,160.42,160.19
159.52,159.67,159.94,159.81,159.35,160.42,160.19,160.78
159.67,159.94,159.81,159.35,160.42,160.19,160.78,161.91
159.94,159.81,159.35,160.42,160.19,160.78,161.91,162.6
159.81,159.35,160.42,160.19,160.78,161.91,162.6,163.84
159.35,160.42,160.19,160.78,161.91,162.6,163.84,166.12
160.42,160.19,160.78,161.91,162.6,163.84,166.12,165.66
